title,site,country,year_release,box_office,director,number_of_subjects,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress
The Greatest,http://www.imdb.com/title/tt0120684/,Canada,1987,$538K,"Federico Kaufman Sant Hickner Sokolov Tammy Blanchard, Morgan Spector",1.0,Francoise Longabaugh Mozart Belaney) Parker) Essex,Musician,Known,,0.0,Female,"Larry Lange Havilland Martin Kemp, Austin Nichols Sydow"
The Man Who Saw Tomorrow,http://www.imdb.com/title/tt0032432/,US,1917,$17.6M,"James Coulter George Solt Leyburn Tammy Blanchard, Morgan Spector",2.0,Erik Groves Corbett Wead Peron Essex,Historical,Known,African,0.0,Female,"Natalie Carradine Cusick Martin Kemp, Kebede Whitelaw Sydow"
Three Little Words,http://www.imdb.com/title/tt0108330/,Canada/UK,1936,$45.2K,"Luis Fosse McLaglen Solt Pulcini Tammy Blanchard, Morgan Spector",1.0,Jacques Polo (Biggie de Peron Essex,Historical,Known,Middle Eastern (White),0.0,Female,"Jackie Gyllenhaal Brown Derek August, James Whitelaw Sydow"
The Story of Louis Pasteur,http://www.imdb.com/title/tt0878804/,US/Canada,1953,$5.53M,"Michael Saville Werker Solt Sokolov Tammy Blanchard, Morgan Spector",2.0,Marcelo Burns Peebles the of Essex,Athlete,Known,Native American,0.0,Female,"Antoine Pattinson Jr Martin August, Billie Whitelaw Sydow"
The Doors,http://www.imdb.com/title/tt0829098/,US/UK/Canada,1948,$30M,"Marek Corbijn SchrÌ¦der Rosenberg Bliss Tammy Blanchard, Morgan Spector",1.1210334102934132,Jacqueline Kaysen Corbett Menezes Jr. Essex,World leader,Known,,0.007018222166684588,Female,Katharine Bonham Damme Pernilla Liya Austin Whitelaw Sydow
The Bang Bang Club,http://www.imdb.com/title/tt0443272/,UK,1959,$30.2M,"Frank Peerce Chomsky Panama Pulcini Tammy Blanchard, Morgan Spector",2.0,Marjorie Davies Kurowsky Richard Scots Essex,Other,Unknown,Eurasian,0.0,Male,"Channing Redgrave Le Kate August, Kebede Whitelaw Sydow"
Invictus,http://www.imdb.com/title/tt0374102/,US/UK,1918,$146K,"Hugh Ivory Schaffner Pal Sokolov Tammy Blanchard, Morgan Spector",1.0,Lou Reed Bush de Kid) Essex,Athlete,Unknown,Hispanic (Latina),0.0,Male,"Daniel Roache Kemp, Martin Kemp, James von Sydow"
Knute Rockne All American,http://www.imdb.com/title/tt0033407/,Canada,1943,$25.8M,"Gavin Kentis Wellman Rosenberg Leyburn Tammy Blanchard, Morgan Spector",1.0,Tommy Yohe Andersen Rocha Jr. Essex,Media,Unknown,African American,0.0,Male,"Marc Downey, Abraham Jean Liya Austin Nichols Sydow"
The Benny Goodman Story,http://www.imdb.com/title/tt0070184/,US,1916,$58.2M,"Delmer Girard Sant Westmoreland Sokolov Tammy Blanchard, Morgan Spector",1.0,Barbara Elizabeth Rawlings of Scots Essex,Historical,Unknown,White,0.0,Male,"Michelle Dupuis and Martin Luke, Kebede (older) Sydow"
Bloodsport,http://www.imdb.com/title/tt0042609/,Canada/UK,1930,$25M,"Louis O. Donehue Friedman Sokolov Tammy Blanchard, Morgan Spector",1.0,Herb Cobb Rosenthal Rocha Peron Essex,Activist,Unknown,Asian American,0.0,Male,"Clint Roberts Jr Jean Arthur, James Nichols Sydow"
Cleopatra,http://www.imdb.com/title/tt0037576/,US/Canada,2010,$37.3M,"Sidney Fabian Randy Barbato Bliss Tammy Blanchard, Morgan Spector",1.0,Hans Braddock Crane Assisi Kid) Essex,Other,Unknown,Hispanic (White),0.0,Male,"Maria Lowe Niro Pernilla August, Max Whitelaw Sydow"
Mishima: A Life in Four Chapters,http://www.imdb.com/title/tt1991031/,US/UK/Canada,1933,$19.1K,"Ron Campus Biesold, Requa Leyburn Tammy Blanchard, Morgan Spector",1.1320385195164904,Jacqueline Kinmont MacGregor Leroy Turner) Essex,Athlete,Unknown,Multi racial,0.01076553381659152,Male,"Helen Kretschmann Abraham and Luke, Austin Nichols Sydow"
Story of G.I. Joe,http://www.imdb.com/title/tt0038948/,UK,1965,$16.8K,"Frank Lang Olmos Rosenberg Pulcini Tammy Blanchard, Morgan Spector",3.0,St. Presley Scott UK Kid) Essex,Criminal,Known,Hispanic (Latino),0.0,Female,"Vil Williams Lucas, Jean Arthur, Kebede Ellison Sydow"
Julie & Julia,http://www.imdb.com/title/tt0829459/,US/UK,1992,$16.1M,"Melville Walsh John Stanislav Leyburn Tammy Blanchard, Morgan Spector",1.0,Billy Hoffman Hardin Donnie Scots Essex,Criminal,Known,Indian,0.0,Female,"Leonardo Karyo Bernal Martin August, Billie Whitelaw Sydow"
Bugsy,http://www.imdb.com/title/tt0470732/,Canada,1938,$1.65M,"Phillip Siodmak Avildsen Weisman Leyburn Tammy Blanchard, Morgan Spector",2.0,Carlton Tolstoy Lindbergh Assisi Brasco) Essex,World leader,Known,,0.0,Female,"Marc Cheadle Toro Derek August, Kebede (older) Sydow"
Star!,http://www.imdb.com/title/tt0059245/,US,1940,$48.8M,"Anand Helgeland Curtis Sykes Sokolov Tammy Blanchard, Morgan Spector",1.0,Brigham Currie MacGregor Jr Kid) Essex,Historical,Known,Middle Eastern,0.0,Female,TchÌ©ky Harris Hoffman Kate Liya Billie Whitelaw Sydow
The Look of Love,http://www.imdb.com/title/tt0033407/,Canada/UK,2009,$400K,"Joe Davies David Requa Sokolov Tammy Blanchard, Morgan Spector",1.0,Napoleon Vermeer Wood UK Scots Essex,Academic,Known,Mediterranean,0.0,Female,"Logan Singer Tsarong Martin Luke, Billie von Sydow"
Kid Cannabis,http://www.imdb.com/title/tt0029942/,US/Canada,2001,$5.99M,"Matthew Lean Jones Hanson Pulcini Tammy Blanchard, Morgan Spector",3.0,"Ludwig Thatcher ""Bob"" Jackson Brasco) Essex",Historical,Known,Caribbean,0.0,Female,"Cole Curtis Cusick Kate Luke, Austin (older) Sydow"
Anna and the King of Siam,http://www.imdb.com/title/tt0070666/,US/UK/Canada,1967,$86.7K,"Phillip Goldwyn Donehue Rosenberg Sokolov Tammy Blanchard, Morgan Spector",1.773927262763039,J. Lavoe BÌ_low Rocha Kid) Essex,Artist,Known,,0.04261304803381856,Female,Tarra Dorff Phillips and Liya Austin (older) Sydow
The Great Ziegfeld,http://www.imdb.com/title/tt0104427/,UK,1995,$226K,"Joel Kay Stern Trent Leyburn Tammy Blanchard, Morgan Spector",1.0,Tsarina White Bell Assisi Parker) Essex,Criminal,Unknown,Middle Eastern (White),0.0,Male,Robin Walken Bernal Derek Liya James Ellison Sydow
Hitler: A Film from Germany,http://www.imdb.com/title/tt1673734/,US/UK,2012,$28.7M,"Tate Lemmons Jones Westmoreland Bliss Tammy Blanchard, Morgan Spector",1.0,Barbara Stratten Hayslip Jr of Essex,Other,Unknown,Native American,0.0,Male,"Ramsey Richardson and Derek August, Austin Ellison Sydow"
Great Balls of Fire!,http://www.imdb.com/title/tt0268978/,Canada,1943,$49.5K,"D.M.W. Dahan Hayes, Hickner Pulcini Tammy Blanchard, Morgan Spector",1.0,Derek Darwin de Assisi Peron Essex,Other,Unknown,Asian,0.0,Male,"Nicolas O'Neill Robinson and Arthur, James (older) Sydow"
The Other Side of the Mountain,http://www.imdb.com/title/tt0031826/,US,1939,$70M,"Nick Cummings Stern Robert Bliss Tammy Blanchard, Morgan Spector",1.0,Frank Bushell Hargreaves Assisi of Essex,Other,Unknown,Eurasian,0.0,Male,Tiffany Brown Peebles Derek Liya James (older) Sydow
Antwone Fisher,http://www.imdb.com/title/tt0892255/,Canada/UK,1947,$9.49M,"Bernardo Townsend Refn Stanislav Leyburn Tammy Blanchard, Morgan Spector",2.0,"Mayer Sinatra, Maruge Richthofen Parker) Essex",Author,Unknown,Hispanic (Latina),0.0,Male,"Mike Bronson Brown Pernilla August, Austin Whitelaw Sydow"
Winnie Mandela,http://www.imdb.com/title/tt0419749/,US/Canada,1942,$10.1M,"Terrence Millar Lee Sykes Ford, Tammy Blanchard, Morgan Spector",2.0,Agnes Flynn Carter England Parker) Essex,Musician,Unknown,African American,0.0,Male,Emile Nasr Toro Martin Winslet Max Ellison Sydow
I'll See You in My Dreams,http://www.imdb.com/title/tt1054588/,US/UK/Canada,2005,$117M,"Joel Saville McLaglen Hanson Leyburn Tammy Blanchard, Morgan Spector",1.0319525981883753,Don Cyr (Biggie Smalls) of Essex,Academic (Philosopher),Unknown,White,0.1486848173750108,Male,Monty Dupont Wood Pernilla Liya Max von Sydow
I Am a Sex Addict,http://www.imdb.com/title/tt2473794/,UK,1965,$256M,"David Jacobson Dutton Rosenberg Bliss Tammy Blanchard, Morgan Spector",1.0,Barry Nash PrÌ©-Finzi (Tina Parker) Essex,Historical,Known,,0.0,Female,"Christian Baxter Kemp, Kate Liya Kebede Ellison Sydow"
Born on the Fourth of July,http://www.imdb.com/title/tt0790663/,US/UK,1982,$100K,"Andrzej Schrader D'Sa, Sykes Ford, Tammy Blanchard, Morgan Spector",1.0,Tsar W. Parker Kyi Parker) Essex,Historical,Known,Hispanic (White),0.0,Female,"Mary Butler VolontÌ© Derek Luke, Kebede Whitelaw Sydow"
Somebody Up There Likes Me,http://www.imdb.com/title/tt0819714/,Canada,1965,$65M,"Jean-FranÌ¤ois Rosi Russell Hickner Sokolov Tammy Blanchard, Morgan Spector",2.0,Phoolan Trotsky BÌ_low Richthofen of Essex,Activist,Known,Multi racial,0.0,Female,Val Morgado Niro Derek Winslet Max (older) Sydow
Vatel,http://www.imdb.com/title/tt2140373/,US,1992,$50.7M,"David Burton Schaffner Rosenberg Ford, Tammy Blanchard, Morgan Spector",1.0,Ian de Roosevelt Wead Peron Essex,Government,Known,Hispanic (Latino),0.0,Female,Clancy Imperioli Lee Pernilla Winslet Billie (older) Sydow
Scott of the Antarctic,http://www.imdb.com/title/tt0033021/,Canada/UK,2004,$7.06M,"Werner Schrader Olmos Panama Pulcini Tammy Blanchard, Morgan Spector",2.0,King Weiland Arc Sweden Turner) Essex,Author (poet),Known,Indian,0.0,Female,"Carroll More Law Martin Kemp, Austin von Sydow"
Hyde Park on Hudson,http://www.imdb.com/title/tt0106770/,US/Canada,1933,$4.29M,"Terrence Rossen Donehue Pal Sokolov Tammy Blanchard, Morgan Spector",1.0,Adam Best Chopin Kyi Scots Essex,Athlete,Known,Hispanic (Latin American),0.0,Female,Chloe B. Nicholas Kate Winslet Austin Whitelaw Sydow
The Whistleblower,http://www.imdb.com/title/tt0081398/,US/UK/Canada,1966,$226K,"Max Koster McLaglen Stanislav Pulcini Tammy Blanchard, Morgan Spector",1.2753104849886145,Mohammad Gehrig da Dennis Peron Essex,Historical,Known,Middle Eastern,0.23777379228702555,Female,"D.B. Rhames Robinson Martin August, James Ellison Sydow"
Counterpunch,http://www.imdb.com/title/tt0109450/,UK,1978,$366K,"Clint King Concini Robert Ford, Tammy Blanchard, Morgan Spector",1.0,"Jill Harvey ""Burt"" the Scots Essex",Other,Unknown,Mediterranean,0.0,Male,PenÌ©lope Winger Phillips and Winslet Max Ellison Sydow
Thirteen,http://www.imdb.com/title/tt1811307/,US/UK,1995,$5.88M,"Sam Winding Olmos Robert Ford, Tammy Blanchard, Morgan Spector",3.0,Eileen Hamill Beethoven Dennis Parker) Essex,Artist,Unknown,Caribbean,0.0,Male,Heinz Mirren Jordan Derek Winslet Billie von Sydow
The Elephant Man,http://www.imdb.com/title/tt0129290/,Canada,1967,$2.47M,"Howard Hytner Olmos Glenn Bliss Tammy Blanchard, Morgan Spector",1.0,Elisabeth Bernadette II Richard of Essex,Other,Unknown,African,0.0,Male,Pierce Pryor (young) Martin Winslet Kebede (older) Sydow
The Lover,http://www.imdb.com/title/tt0109021/,US,1980,$12.1M,"Penny Roodt Stuart Weisman Ford, Tammy Blanchard, Morgan Spector",1.0,Beverly Valens Greene Kennedy of Essex,Artist,Unknown,,0.0,Male,"Nickolas Rachel Tsarong Kate Arthur, Austin Nichols Sydow"
To Walk with Lions,http://www.imdb.com/title/tt0119502/,Canada/UK,1945,$552K,"Denzel Lapica Biesold, Satrapi Leyburn Tammy Blanchard, Morgan Spector",2.0,Sid Hardwicke Nixon Adams Parker) Essex,Author (poet),Unknown,Native American,0.0,Male,"Chloe Seymour Carter and August, Max Ellison Sydow"
The Night We Called It a Day,http://www.imdb.com/title/tt0469640/,US/Canada,1921,$75.3M,"Elia McNamara Davenport Trent Pulcini Tammy Blanchard, Morgan Spector",1.0,Gladys Bolkovac Sassoon Leroy Jr. Essex,Other,Unknown,Asian,0.0,Male,Winona Weisz Le Pernilla Winslet Austin Ellison Sydow
Communion,http://www.imdb.com/title/tt0043669/,US/UK/Canada,1956,$446K,"Oliver Kay George Barbato Pulcini Tammy Blanchard, Morgan Spector",1.0238169643245685,Vernon Oppenheimer Suu Smalls) Peron Essex,Author,Unknown,,0.06984532119523153,Male,"Emilia Kinnear Le Jean Luke, Billie Nichols Sydow"
Heaven & Earth,http://www.imdb.com/title/tt1837703/,UK,1975,$52.3M,"William Sax Jr. Sarah-Violet Pulcini Tammy Blanchard, Morgan Spector",1.0,Nate Bolkovac Lindbergh Jr Turner) Essex,Historical,Known,Hispanic (Latina),0.0,Female,"Matthias Pitt Kemp, Martin August, Max (older) Sydow"
La Vie en Rose,http://www.imdb.com/title/tt0049092/,US/UK,1985,$2.42M,"Bill Delpy Furie Requa Ford, Tammy Blanchard, Morgan Spector",1.0,Emiliano Child Jinnah Rocha Scots Essex,Author,Known,African American,0.0,Female,"Leonardo Shearer Burke Kate August, Billie Nichols Sydow"
The Benny Goodman Story,http://www.imdb.com/title/tt0113463/,Canada,1938,$14.2M,"Nikolai Green McLaglen Barbato Pulcini Tammy Blanchard, Morgan Spector",1.0,Mariane Bither Rosenthal Jackson Turner) Essex,Medicine,Known,White,0.0,Female,"Emile Whishaw Nicholas Martin Kemp, Kebede von Sydow"
Ali,http://www.imdb.com/title/tt1054580/,US,1936,$80M,"Henrique Spencer John Westmoreland Pulcini Tammy Blanchard, Morgan Spector",2.0,Derek Foley Muhammad Anastasia Brasco) Essex,Other,Known,,0.0,Female,"Erich Jittlov Jr. and August, Billie Ellison Sydow"
The Barretts of Wimpole Street,http://www.imdb.com/title/tt0096969/,Canada/UK,1929,$1.41M,"Dan White Schaffner Panama Leyburn Tammy Blanchard, Morgan Spector",1.0,Ed Devi of Richard Kid) Essex,Other,Known,Hispanic (White),0.0,Female,Michelle Keener Abraham and Liya Max Nichols Sydow
Sid and Nancy,http://www.imdb.com/title/tt0964517/,US/Canada,1932,$84.9M,"Ralph Rich D'Sa, Panama Sokolov Tammy Blanchard, Morgan Spector",1.0,J.M.W. Juarez Scott UK Brasco) Essex,Other,Known,Multi racial,0.0,Female,"Walter Mastroianni (young) Derek Arthur, Kebede von Sydow"
I Shot Andy Warhol,http://www.imdb.com/title/tt2305051/,US/UK/Canada,1996,$139M,"Alan DuVernay Donehue Pal Bliss Tammy Blanchard, Morgan Spector",1.1919362686318649,Mahatma Marks Khan) Assisi Brasco) Essex,Criminal,Known,Hispanic (Latino),0.038075499526338825,Female,Eric Finch Bernal Derek Liya Austin Nichols Sydow
VIPs,http://www.imdb.com/title/tt1647668/,UK,2011,$6.62M,"Tom Zinnemann Marjane Barbato Pulcini Tammy Blanchard, Morgan Spector",2.0,Billy Castle Lee Leroy Parker) Essex,Other,Unknown,,0.0,Male,"Benjamin Daniel Lucas, Derek Arthur, Max Ellison Sydow"
Elizabeth: The Golden Age,http://www.imdb.com/title/tt0892255/,US/UK,1927,$5M,"Doug Silver Andrew Trent Leyburn Tammy Blanchard, Morgan Spector",1.0,Temujin Cody 2nd (Tina Brasco) Essex,Academic,Unknown,Hispanic (Latin American),0.0,Male,"Greg Ledger Niro Jean Kemp, Max von Sydow"
1987,http://www.imdb.com/title/tt1126590/,Canada,1921,$36.6M,"Werner Kulik Baird Requa Ford, Tammy Blanchard, Morgan Spector",1.0,Manfred Stern of Dennis Peron Essex,Musician,Unknown,Middle Eastern,0.0,Male,"Wallace Farrell Basquiat Martin August, Billie Nichols Sydow"
The Glenn Miller Story,http://www.imdb.com/title/tt0048119/,US,1982,$1.42M,"Roman Condon Wash Barbato Leyburn Tammy Blanchard, Morgan Spector",1.0,"Elvis Cobb ""Spig"" UK Turner) Essex",Criminal,Unknown,Mediterranean,0.0,Male,"Marilyn Carrey Jr Kate Luke, James Ellison Sydow"
The Great Ziegfeld,http://www.imdb.com/title/tt0037465/,Canada/UK,1949,$41.2M,"Tim MacKinnon Hill Robert Pulcini Tammy Blanchard, Morgan Spector",1.0,"Jimmy Becket I Halsey, Turner) Essex",Other,Unknown,Caribbean,0.0,Male,Warner Fiennes Phillips Pernilla Winslet Kebede Nichols Sydow
King David,http://www.imdb.com/title/tt0049778/,US/Canada,1921,$139M,"Gus Shergold Ruth Friedman Pulcini Tammy Blanchard, Morgan Spector",1.0,"Baron Keller Roosevelt Halsey, Turner) Essex",Author,Unknown,African,0.0,Male,Philippe Ejiofor Niro Pernilla Winslet Austin (older) Sydow
Mishima: A Life in Four Chapters,http://www.imdb.com/title/tt0048337/,US/UK/Canada,1940,$30M,"Buzz Jordan Davenport Rosenberg Ford, Tammy Blanchard, Morgan Spector",1.2771209635836673,"Christina, Disney Mesmer Sweden Brasco) Essex",Actor,Unknown,Middle Eastern (White),0.24930860733646204,Male,Chiwetel Weston Young Jean Liya Billie von Sydow
King of Kings,http://www.imdb.com/title/tt0059635/,UK,1975,$33M,"Rowland Zurinaga Marjane Hickner Ford, Tammy Blanchard, Morgan Spector",1.0,Maria Kinsey Kennedy Caravaggio Scots Essex,Musician,Known,Native American,0.0,Female,"Harvey More Medeiros and Kemp, Max von Sydow"
The Unsinkable Molly Brown,http://www.imdb.com/title/tt0401383/,US/UK,1924,$31.6M,"Brian Fincher Marjane Westmoreland Ford, Tammy Blanchard, Morgan Spector",2.0,Bonnie Caruso Nichols Kennedy Jr. Essex,Actor,Known,Asian,0.0,Female,Holly Brody Jones Pernilla Liya Max Ellison Sydow
Lee Daniels' The Butler,http://www.imdb.com/title/tt0031507/,Canada,1936,$12.8K,"Marvin Balaban, Curtis Trent Pulcini Tammy Blanchard, Morgan Spector",2.0,Chris Alexandra Carter England Brasco) Essex,Medicine,Known,Eurasian,0.0,Female,"Deborah Ameche Nicholas Jean Luke, James Nichols Sydow"
Love Is a Many-Splendored Thing,http://www.imdb.com/title/tt0044324/,US,1938,$31.7M,"D.M.W. Harris Schaffner Panama Ford, Tammy Blanchard, Morgan Spector",1.0,Jacqueline Jefferson Trapp (Tina Scots Essex,Other,Known,Hispanic (Latina),0.0,Female,"Kat Dupont Kemp, and Luke, Kebede von Sydow"
Geronimo,http://www.imdb.com/title/tt0049833/,Canada/UK,1998,$14.5M,"Tom Pevney Hayes, Trent Pulcini Tammy Blanchard, Morgan Spector",1.0,Dan Valens Bullock Earl Scots Essex,Historical,Known,African American,0.0,Female,"Idris O'Brien Cooper, and Kemp, Kebede Whitelaw Sydow"
Alexander the Great,http://www.imdb.com/title/tt0156020/,US/Canada,2005,$79.9M,"Marc Dominik McLaglen Stanislav Bliss Tammy Blanchard, Morgan Spector",1.0,Patsy Hollander Lewis Richard Scots Essex,Historical,Known,White,0.0,Female,Michael Lowe Law Kate Liya Kebede (older) Sydow
The Diary of Anne Frank,http://www.imdb.com/title/tt0033980/,US/UK/Canada,1927,$41.2M,"Catherine Castillo Olmos Hickner Leyburn Tammy Blanchard, Morgan Spector",1.2551249811031369,Anna Juarez Mesmer Earl Parker) Essex,Athlete,Known,Asian American,0.1233741588622719,Female,"Diana Freeman Damme Martin August, Kebede Nichols Sydow"
The Eddy Duchin Story,http://www.imdb.com/title/tt0088987/,UK,1953,$5.13M,"Fenton Castillo Curtis Panama Bliss Tammy Blanchard, Morgan Spector",1.0,J.M.W. Arbus Gogh Richard Scots Essex,Historical,Unknown,Hispanic (White),0.0,Male,"Benedict Whishaw Lucas, and Arthur, Max Nichols Sydow"
Mary of Scotland,http://www.imdb.com/title/tt0048191/,US/UK,1916,$2.18M,"Nathan Haskin Stern Solt Sokolov Tammy Blanchard, Morgan Spector",2.0,Elisabeth Leonowens Szabo Jackson Turner) Essex,Other,Unknown,Multi racial,0.0,Male,Donald Jagger Damme Pernilla Liya Austin Ellison Sydow
Selma,http://www.imdb.com/title/tt0111271/,Canada,1955,$164M,"Jack Townsend Ruth Glenn Leyburn Tammy Blanchard, Morgan Spector",1.0,"Heinrich the ""Spig"" de of Essex",Musician,Unknown,,0.0,Male,"Jeff Palmer Jones and August, Austin Nichols Sydow"
The Brittany Murphy Story,http://www.imdb.com/title/tt0112573/,US,1925,$97M,"Nick Altman Martinson Solt Sokolov Tammy Blanchard, Morgan Spector",1.0,"Malcolm Ford ""Radio"" Halsey, Scots Essex",Athlete,Unknown,Indian,0.0,Male,"Ashton Huston Peebles Jean Arthur, Max (older) Sydow"
Henry V,http://www.imdb.com/title/tt0221027/,Canada/UK,1917,-,"Arnold Thomason Leonard Sykes Ford, Tammy Blanchard, Morgan Spector",4.0,Amelia (Genghis Lindbergh Rocha Brasco) Essex,Actress,Unknown,Hispanic (Latin American),0.0,Male,"Don Brosnan Kemp, Derek Winslet James Whitelaw Sydow"
The Look of Love,http://www.imdb.com/title/tt0106770/,US/Canada,2012,$31M,"Kevin Walters Chomsky Barbato Bliss Tammy Blanchard, Morgan Spector",1.0,"Charlotte Hanlan ""Patch"" Jr Parker) Essex",Athlete,Unknown,Middle Eastern,0.0,Male,AnnaSophia Gyllenhaal Damme and Winslet Austin Ellison Sydow
American Me,http://www.imdb.com/title/tt0414055/,US/UK/Canada,2014,$120M,"Harry Lewin Donehue Robert Sokolov Tammy Blanchard, Morgan Spector",1.3325576324688535,Michael Pienaar Hargreaves Earl Jr. Essex,Other,Unknown,Mediterranean,0.13234575078654276,Male,"Lynn Chassay Olmos Pernilla Luke, James Nichols Sydow"
Fur: An Imaginary Portrait of Diane Arbus,http://www.imdb.com/title/tt0051849/,UK,1928,$29M,"Malcolm Muccino Concini Trent Ford, Tammy Blanchard, Morgan Spector",1.0,Ed Farmer III Crane Kid) Essex,Athlete,Known,Caribbean,0.0,Female,Montgomery Arquette Medeiros Pernilla Winslet Kebede von Sydow
The Babe Ruth Story,http://www.imdb.com/title/tt0076106/,US/UK,1920,$9.49M,"James Karlson Dyke Glenn Ford, Tammy Blanchard, Morgan Spector",2.0,Ed Cyr CharriÌ¬re Rocha Scots Essex,Athlete,Known,,0.0,Female,Jamal Bichir Lee and Liya Austin Whitelaw Sydow
The Invisible Woman,http://www.imdb.com/title/tt0362269/,Canada,1947,$2.23M,"Sydney Caton-Jones Davenport Robert Leyburn Tammy Blanchard, Morgan Spector",2.0,Sandra DalÌ_ Wood Richthofen Kid) Essex,Author,Known,Middle Eastern (White),0.0,Female,"Ashton Jittlov Tsarong Pernilla August, James Whitelaw Sydow"
The Last Emperor,http://www.imdb.com/title/tt0036910/,US,1915,$1.72M,"Arthur Luise Smith Robert Bliss Tammy Blanchard, Morgan Spector",1.0,Cleopatra Ghaffarian Suu (Tina Scots Essex,Singer,Known,Native American,0.0,Female,"Chuck Donat Jordan Kate Luke, Billie (older) Sydow"
Backbeat,http://www.imdb.com/title/tt0043044/,Canada/UK,2004,$18M,"Carl Bogdanovich Marjane Westmoreland Pulcini Tammy Blanchard, Morgan Spector",2.0,"Frances Biko / Halsey, Peron Essex",Criminal,Known,,0.0,Female,"Helen Ferrer Nicholas Derek Luke, James (older) Sydow"
The Winning Team,http://www.imdb.com/title/tt0083967/,US/Canada,1948,$21.8K,"Kevin Taurog David Friedman Leyburn Tammy Blanchard, Morgan Spector",1.0,J.M. Hollander PrÌ© Assisi Brasco) Essex,Military,Known,,0.0,Female,Chadwick Spall Young Martin Liya Max Nichols Sydow
Lady Jane,http://www.imdb.com/title/tt0070666/,US/UK/Canada,1970,$50M,"Lloyd Peirce Biesold, Panama Pulcini Tammy Blanchard, Morgan Spector",1.491965391636209,P.L. Schultz (Billy Richard Parker) Essex,Historical,Known,Hispanic (Latina),0.10536554291702449,Female,"Joseph Affleck Jones Derek Luke, Kebede Whitelaw Sydow"
Desert Dancer,http://www.imdb.com/title/tt2357129/,UK,1969,$37.9M,"Darrell Maybury Berman, Robert Bliss Tammy Blanchard, Morgan Spector",1.0,"Harry Reeves Muhammad Halsey, Scots Essex",Author,Unknown,African American,0.0,Male,Patty Theron Sydow Martin Liya Kebede Whitelaw Sydow
Jean Charles,http://www.imdb.com/title/tt0150915/,US/UK,1995,$4.07M,"D.W. Hooper Olmos Solt Sokolov Tammy Blanchard, Morgan Spector",1.0,"Louis Caesar PrÌ© Halsey, Jr. Essex",Media,Unknown,White,0.0,Male,"Robin Malkovich Toro Pernilla Kemp, Max Whitelaw Sydow"
A Mighty Heart,http://www.imdb.com/title/tt0060983/,Canada,1944,$21.2M,"Joel Walters DeMille Westmoreland Sokolov Tammy Blanchard, Morgan Spector",1.0,Neal Kern Gogh de Turner) Essex,Author,Unknown,Asian American,0.0,Male,Halle Harvey Leigh Martin Winslet James (older) Sydow
Mrs Brown,http://www.imdb.com/title/tt0432402/,US,1922,$22.8M,"Ken Z. Young Hickner Bliss Tammy Blanchard, Morgan Spector",1.0,"Queen Strauss ""Spig"" Sweden Turner) Essex",Musician,Unknown,Hispanic (White),0.0,Male,"Cliff Cagney Leigh Jean Kemp, Austin Whitelaw Sydow"
Copying Beethoven,http://www.imdb.com/title/tt0258470/,Canada/UK,1980,$39.1M,"Menno Ivory Marjane Panama Sokolov Tammy Blanchard, Morgan Spector",1.0,Lillian Solanas Bush Adams Brasco) Essex,Athlete,Unknown,Multi racial,0.0,Male,"Anne Heston Nicholas Derek Kemp, Kebede Nichols Sydow"
Tucker: The Man and His Dream,http://www.imdb.com/title/tt0903657/,US/Canada,2011,$18M,"Marc Hampton Peebles Satrapi Leyburn Tammy Blanchard, Morgan Spector",1.0,Nostradamus Duke Sassoon Caravaggio of Essex,Historical,Unknown,Hispanic (Latino),0.0,Male,"Ricci Lopez Wood Jean August, James von Sydow"
The Glenn Miller Story,http://www.imdb.com/title/tt0208993/,US/UK/Canada,1982,$42.4M,"Mick Campion Caunes Glenn Bliss Tammy Blanchard, Morgan Spector",1.0861602838327413,Melvin Zahedi O'Keefe Smalls) of Essex,Actor,Unknown,Indian,0.22245719414102294,Male,"Frederic Reynolds Olmos Jean August, Kebede Ellison Sydow"
Charlie Wilson's War,http://www.imdb.com/title/tt0028141/,UK,1917,$6.14M,"Bennett Sigismondi Chomsky Hanson Bliss Tammy Blanchard, Morgan Spector",1.0,Hans Davis Greene of Scots Essex,Military,Known,Hispanic (Latin American),0.0,Female,"Michelle More Burke Derek August, James Whitelaw Sydow"
Winnie Mandela,http://www.imdb.com/title/tt0096969/,US/UK,1918,$81.2M,"Charles Barker Furie Robert Sokolov Tammy Blanchard, Morgan Spector",1.0,Carlton Reville Bullock Richard of Essex,Other,Known,Middle Eastern,0.0,Female,"Nigel Hunter Basquiat and Arthur, Austin (older) Sydow"
Bubble Boy,http://www.imdb.com/title/tt0051003/,Canada,1923,$5.89M,"D.M.W. Douglas Leonard Westmoreland Pulcini Tammy Blanchard, Morgan Spector",1.0,Sabina Mitchell Corbett (Tina of Essex,Actor,Known,,0.0,Female,Ronald Roth Havilland Derek Liya Austin Nichols Sydow
Pandaemonium,http://www.imdb.com/title/tt1673734/,US,2008,$9.59M,"A.J. Dieterle Hancock Requa Ford, Tammy Blanchard, Morgan Spector",1.0,Jimi Curie Thorson Kyi Parker) Essex,Military,Known,Caribbean,0.0,Female,"Selton Corraface Burke Jean Luke, Kebede Ellison Sydow"
